target,feat1,feat3
1.0052,14.208,0.0016364
0.99294,14.25,0.0018486
0.99791,14.292,0.0018163
0.9953,14.333,0.002208
0.99376,14.375,0.0015534
1.007,14.417,0.0020442
0.99724,14.458,0.0019838
0.99955,14.5,0.0015895
0.99468,14.542,0.0015878
1.0045,14.583,0.0019619
0.99452,14.625,0.0016093
1.0049,14.667,0.0019377
1.0015,14.708,0.0016059
0.99479,14.75,0.0018187
0.9961,14.792,0.001516
1.0012,14.833,0.0015659
1.0018,14.875,0.0014188
0.99312,14.917,0.0015578
0.9977,14.958,0.0020616
1.0093,15.0,0.0014023
1.004,15.042,0.0019958
0.99074,15.083,0.0017406
1.0074,15.125,0.0014559
1.0079,15.167,0.0017218
0.9966,15.208,0.0017419
1.0033,15.25,0.0016076
1.005,15.292,0.0013129
1.0092,15.333,0.0015307
1.0043,15.375,0.0016651
1.0048,15.417,0.0014695
0.99243,15.458,0.0014023
1.0019,15.5,0.0015246
0.994,15.542,0.0014509
1.0084,15.583,0.0015051
0.99962,15.625,0.0017227
0.99332,15.667,0.0016039
0.99528,15.708,0.0015865
1.0007,15.75,0.0015877
0.99672,15.792,0.0016823
0.99828,15.833,0.0017456
0.99727,15.875,0.0017824
0.98713,15.917,0.0019673
0.99071,15.958,0.0015307
1.0017,16.0,0.0013286
0.98769,16.042,0.001616
1.0015,16.083,0.0017422
0.99762,16.125,0.0016314
0.99108,16.167,0.0016217
0.98727,16.208,0.0017918
0.98717,16.25,0.001957
0.99635,16.292,0.0020695
0.98212,16.333,0.0020857
0.98007,16.375,0.0015847
0.98989,16.417,0.0013505
0.98986,16.458,0.0016843
0.97807,16.5,0.001259
0.97943,16.542,0.0014858
0.97936,16.583,0.0011851
0.99081,16.625,0.001814
0.97477,16.667,0.0020629
0.97369,16.708,0.0013444
0.98887,16.75,0.0014885
0.98046,16.792,0.0016385
0.98244,16.833,0.0014442
0.97981,16.875,0.0017355
0.98317,16.917,0.0015105
0.97381,16.958,0.0016524
0.98531,17.0,0.0016928
0.97829,17.042,0.0017178
0.98362,17.083,0.0014007
0.98079,17.125,0.0015076
0.98122,17.167,0.001527
0.9788,17.208,0.0014186
0.97037,17.25,0.0019351
0.9701,17.292,0.001592
0.97402,17.333,0.0016034
0.9675,17.375,0.001486
0.97031,17.417,0.0020605
